empty,x,y,z,angle,PTE,LXe R_i,seeding
1,93.37192,48.906666,93.061424,28.769905,0.000372,1.78,18271
1,91.51007,48.906666,88.602806,59.42895,0.000379,1.78,18271
1,88.36138,48.906666,91.07887,19.157028,0.000372,1.78,18271
1,92.37295,48.906666,88.83907,57.369534,0.000382,1.78,18271
1,93.97594,48.906666,89.949585,70.99631,0.000362,1.78,18271
1,92.74996,48.906666,90.03794,71.681854,0.000355,1.78,18271
1,91.336754,48.906666,90.14486,72.48038,0.000379,1.78,18271
1,89.70111,48.906666,90.30248,73.3603,0.000371,1.78,18271
1,91.048775,48.906666,91.40059,13.154721,0.000368,1.78,18271
1,91.48851,48.906666,91.464676,12.159786,0.000375,1.78,18271
1,88.53028,48.906666,92.666214,79.104126,0.000385,1.78,18271
1,92.363754,48.906666,91.604385,10.182557,0.000402,1.78,18271
