n_xe,n_si,pte,pte_error
1.5514814814814815,0.6814814814814815,0.0029,0.00017029386365926402
1.5514814814814815,0.6888888888888889,0.0029,0.00017029386365926402
1.5514814814814815,0.6962962962962963,0.0029,0.00017029386365926402
1.5514814814814815,0.7037037037037037,0.0029,0.00017029386365926402
1.5514814814814815,0.7111111111111111,0.00289,0.00017
1.5514814814814815,0.7185185185185186,0.00289,0.00017
1.5514814814814815,0.7259259259259259,0.00288,0.0001697056274847714
1.5514814814814815,0.7333333333333333,0.00288,0.0001697056274847714
1.5514814814814815,0.7407407407407407,0.00288,0.0001697056274847714
1.5514814814814815,0.7481481481481481,0.00285,0.00016881943016134135
1.5514814814814815,0.7555555555555555,0.00284,0.00016852299546352717
1.5514814814814815,0.762962962962963,0.0028,0.00016733200530681512
1.5514814814814815,0.7703703703703704,0.00279,0.00016703293088490067
1.5514814814814815,0.7777777777777778,0.00279,0.00016703293088490067
1.5514814814814815,0.7851851851851852,0.00276,0.0001661324772583615
1.5514814814814815,0.7925925925925925,0.00276,0.0001661324772583615
1.5514814814814815,0.8,0.00275,0.00016583123951777
1.5514814814814815,0.8074074074074074,0.00272,0.0001649242250247064
1.5514814814814815,0.8148148148148148,0.00269,0.00016401219466856726
1.5514814814814815,0.8222222222222222,0.00268,0.000163707055437449
1.5514814814814815,0.8296296296296296,0.00267,0.0001634013463836819
1.5514814814814815,0.837037037037037,0.00267,0.0001634013463836819
1.5514814814814815,0.8444444444444444,0.00266,0.0001630950643030009
1.5514814814814815,0.8518518518518519,0.00265,0.00016278820596099706
1.5514814814814815,0.8592592592592592,0.00264,0.0001624807680927192
1.5514814814814815,0.8666666666666667,0.00264,0.0001624807680927192
1.5514814814814815,0.874074074074074,0.00263,0.00016217274740226855
1.5514814814814815,0.8814814814814815,0.00263,0.00016217274740226855
1.5514814814814815,0.8888888888888888,0.00263,0.00016217274740226855
1.5514814814814815,0.8962962962962963,0.00263,0.00016217274740226855
