run_id,k_si,n_si,pte_8,pte_8_error,pte_4,pte_4_error
554,0.702020202020202,0.5555555555555556,0.00341,0.00018466185312619387,0.00243,0.00015588457268119897
555,0.702020202020202,0.5740740740740741,0.00338,0.00018384776310850234,0.00238,0.00015427248620541512
556,0.702020202020202,0.5925925925925926,0.00333,0.0001824828759089466,0.00234,0.00015297058540778355
557,0.702020202020202,0.6111111111111112,0.00328,0.00018110770276274834,0.0023,0.000151657508881031
558,0.702020202020202,0.6296296296296297,0.00323,0.0001797220075561143,0.00227,0.00015066519173319363
559,0.702020202020202,0.6481481481481481,0.00318,0.00017832554500127006,0.00222,0.0001489966442575134
560,0.702020202020202,0.6666666666666666,0.00316,0.00017776388834631177,0.0022,0.00014832396974191327
561,0.702020202020202,0.6851851851851851,0.00312,0.00017663521732655694,0.00214,0.00014628738838327792
562,0.702020202020202,0.7037037037037037,0.00308,0.00017549928774784245,0.00213,0.00014594519519326425
563,0.702020202020202,0.7222222222222222,0.00308,0.00017549928774784245,0.00212,0.00014560219778561037
564,0.702020202020202,0.7407407407407407,0.00301,0.00017349351572897473,0.00211,0.0001452583904633395
565,0.702020202020202,0.7592592592592593,0.003,0.00017320508075688776,0.00211,0.0001452583904633395
566,0.702020202020202,0.7777777777777778,0.00298,0.0001726267650163207,0.00208,0.00014422205101855958
567,0.702020202020202,0.7962962962962963,0.00294,0.00017146428199482248,0.00207,0.0001438749456993816
568,0.702020202020202,0.8148148148148148,0.0029,0.00017029386365926402,0.00203,0.00014247806848775006
569,0.702020202020202,0.8333333333333333,0.00284,0.00016852299546352717,0.00198,0.0001407124727947029
570,0.702020202020202,0.8518518518518519,0.0028,0.00016733200530681512,0.00194,0.0001392838827718412
571,0.702020202020202,0.8703703703703703,0.00278,0.00016673332000533066,0.00192,0.0001385640646055102
572,0.702020202020202,0.8888888888888888,0.00269,0.00016401219466856726,0.0019,0.00013784048752090222
573,0.702020202020202,0.9074074074074074,0.00266,0.0001630950643030009,0.00189,0.0001374772708486752
574,0.702020202020202,0.9259259259259259,0.00264,0.0001624807680927192,0.00188,0.00013711309200802087
575,0.702020202020202,0.9444444444444444,0.0026,0.00016124515496597098,0.00186,0.00013638181696985855
576,0.702020202020202,0.9629629629629629,0.00258,0.0001606237840420901,0.00183,0.00013527749258468682
577,0.702020202020202,0.9814814814814814,0.00253,0.00015905973720586867,0.00179,0.0001337908816025965
578,0.702020202020202,1.0,0.00249,0.000157797338380595,0.00177,0.0001330413469565007
579,0.702020202020202,1.0185185185185186,0.00247,0.0001571623364550171,0.00175,0.00013228756555322952
580,0.702020202020202,1.037037037037037,0.00245,0.00015652475842498528,0.00172,0.00013114877048604
581,0.702020202020202,1.0555555555555556,0.00241,0.00015524174696260025,0.0017,0.00013038404810405298
582,0.702020202020202,1.074074074074074,0.00237,0.00015394804318340653,0.0017,0.00013038404810405298
583,0.702020202020202,1.0925925925925926,0.00232,0.00015231546211727818,0.0017,0.00013038404810405298
584,0.702020202020202,1.1111111111111112,0.00227,0.00015066519173319363,0.00169,0.00013
585,0.702020202020202,1.1296296296296295,0.00226,0.00015033296378372908,0.00168,0.0001296148139681572
586,0.702020202020202,1.1481481481481481,0.00219,0.00014798648586948743,0.00165,0.0001284523257866513
587,0.702020202020202,1.1666666666666665,0.00217,0.00014730919862656234,0.00163,0.00012767145334803705
588,0.702020202020202,1.1851851851851851,0.00217,0.00014730919862656234,0.00162,0.00012727922061357857
589,0.702020202020202,1.2037037037037037,0.00212,0.00014560219778561037,0.0016,0.00012649110640673518
590,0.702020202020202,1.2222222222222223,0.0021,0.00014491376746189437,0.0016,0.00012649110640673518
591,0.702020202020202,1.2407407407407407,0.0021,0.00014491376746189437,0.0016,0.00012649110640673518
592,0.702020202020202,1.259259259259259,0.00206,0.00014352700094407323,0.0016,0.00012649110640673518
593,0.702020202020202,1.2777777777777777,0.00204,0.00014282856857085702,0.00157,0.0001252996408614167
594,0.702020202020202,1.2962962962962963,0.00204,0.00014282856857085702,0.00157,0.0001252996408614167
595,0.702020202020202,1.3148148148148149,0.00203,0.00014247806848775006,0.00156,0.00012489995996796798
596,0.702020202020202,1.3333333333333333,0.00199,0.00014106735979665884,0.00154,0.00012409673645990857
597,0.702020202020202,1.3518518518518519,0.00198,0.0001407124727947029,0.00153,0.0001236931687685298
598,0.702020202020202,1.3703703703703702,0.00196,0.00014,0.00153,0.0001236931687685298
599,0.702020202020202,1.3888888888888888,0.00196,0.00014,0.00152,0.0001232882800593795
600,0.702020202020202,1.4074074074074074,0.00194,0.0001392838827718412,0.00151,0.00012288205727444508
601,0.702020202020202,1.4259259259259258,0.00194,0.0001392838827718412,0.00151,0.00012288205727444508
602,0.702020202020202,1.4444444444444444,0.00192,0.0001385640646055102,0.0015,0.0001224744871391589
603,0.702020202020202,1.4629629629629628,0.00189,0.0001374772708486752,0.0015,0.0001224744871391589
604,0.702020202020202,1.4814814814814814,0.00187,0.00013674794331177344,0.00148,0.00012165525060596439
605,0.702020202020202,1.5,0.00184,0.00013564659966250537,0.00147,0.0001212435565298214
606,0.7222222222222222,0.5,0.00351,0.00018734993995195192,0.00249,0.000157797338380595
