empty,x,y,z,angle,PTE,LXe r_i,seed
1,93.593475,48.906666,90.61495,4.677428,0.004375,1.6428623975015988,29281
1,92.171165,48.906666,90.67125,2.9985254,0.0045,1.6436318940357428,28139
1,90.29783,48.906666,91.92325,4.138484,0.004395,1.6474725427939698,10971
1,89.55892,48.906666,90.71197,5.6667643,0.004437,1.6412949354858926,20686
1,91.66489,48.906666,89.34789,4.284366,0.004498,1.6469635210327997,21839
1,93.27498,48.906666,88.689735,8.544701,0.004459,1.6393846177842277,31180
1,93.27997,48.906666,92.37681,5.3270073,0.004453,1.6419750741762362,23773
1,93.21236,48.906666,91.83417,3.9824123,0.004405,1.6414278602124988,28104
1,94.080086,48.906662,92.445076,7.3140244,0.004282,1.6437253575444035,8950
1,88.79496,48.906666,90.88639,6.0632677,0.00442,1.6489842955600866,32339
1,92.40611,48.906666,88.70186,30.066168,0.004446,1.6429038585322187,7049
1,90.36658,48.906666,93.00189,6.4689937,0.004539,1.6409310972882125,3092
1,94.13547,48.906666,89.38733,5.7256017,0.004391,1.6393277694551065,18367
1,93.96717,48.906666,88.61101,10.024837,0.004417,1.6391502463936793,9351
1,90.95677,48.906666,90.91961,0.5532007,0.004402,1.6479776940519246,26277
1,90.31073,48.906666,92.29461,31.304762,0.004378,1.6483125067866056,11503
1,92.83067,48.906666,90.65006,2.715268,0.004584,1.6413191292326903,10759
1,89.75847,48.906666,91.78218,4.828563,0.004538,1.6463606172271874,22889
1,88.80694,48.90667,93.697975,8.260349,0.004409,1.6446019923642188,7638
1,89.103905,48.90667,89.3981,6.763179,0.00433,1.6395965739756067,7234
1,90.56562,48.90667,93.821175,6.2301083,0.004503,1.6467980660265273,20909
1,92.065475,48.90667,90.24324,2.5442212,0.004409,1.6407966467562647,29606
1,89.388214,48.906666,91.307014,6.2451954,0.004387,1.6401690530651991,22082
1,93.542755,48.906666,93.21148,8.098297,0.004341,1.6462585352160717,21356
1,94.14402,48.906666,91.551285,5.660016,0.004434,1.6420026209567495,879
1,93.59845,48.906666,90.15927,5.512351,0.004384,1.645354712076119,11862


