empty,x,y,z,angle,PTE,lxeri,seed
1,92.24125,48.906666,93.76151,5.6998363,0.004585,1.8566972338187018,20052
1,89.05454,48.906662,93.74266,9.6125345,0.004449,1.6406085194866904,7703
1,89.1781,48.906666,89.656815,4.1007385,0.00446,1.830585617409439,14264
1,91.23366,48.906666,89.038124,6.3618984,0.004601,1.8915099844184313,28971
1,90.5162,48.906666,89.98661,3.4611921,0.004516,1.65639542046917,6588
1,92.4525,48.906666,90.94708,1.8003758,0.004592,1.8743189846305426,18497
1,92.28776,48.906666,94.235855,5.9023595,0.004362,1.8395554545311978,32370
1,93.98532,48.906666,91.91585,7.401731,0.00451,1.7424645935664604,18977
1,92.94705,48.906666,90.34902,4.359636,0.004487,1.6783085168815097,3608
1,91.24069,48.906666,92.06009,2.0012496,0.004557,1.8939847514846884,5537
1,88.48716,48.906666,88.68178,7.2303896,0.004412,1.658903398803299,15965
1,89.53472,48.906662,93.495834,7.7749104,0.004505,1.7893107028796402,31477
1,91.78352,48.906666,89.49096,5.4179015,0.004386,1.711197520612618,3288
1,90.11214,48.906666,90.17368,4.7451186,0.004303,1.7403469071696556,1239
1,90.22358,48.906666,90.729805,2.4474463,0.004577,1.7867135200488335,4390
1,89.115616,48.90667,93.43991,9.078419,0.004398,1.720117901958712,3967
1,91.9446,48.90667,93.24194,3.1666903,0.00441,1.648328192939787,8422
1,88.61032,48.90667,92.3446,6.0223927,0.004399,1.750949078404469,588
1,92.027985,48.906666,93.181,2.5706263,0.004498,1.8455641856302647,28123
1,88.55877,48.906666,90.61209,6.684777,0.004524,1.841729717776499,7325
1,89.916725,48.906666,93.64238,7.243348,0.004494,1.8921736629157553,15501
1,88.34164,48.906666,88.70849,10.195627,0.004539,1.8691932968866936,1433
1,89.46339,48.906666,92.53012,5.6725373,0.004443,1.7367740816397614,18968
1,88.86585,48.90667,90.1248,7.962277,0.00455,1.6408524922839873,5319
1,88.595764,48.906666,88.8891,7.3184233,0.004533,1.7829002003821832,29494
1,89.358925,48.906666,89.582016,7.14806,0.00429,1.6644905467055282,3007
1,91.38514,48.906666,88.7716,7.610534,0.004455,1.751965644576339,18276
1,89.21052,48.906666,93.880196,7.617441,0.004416,1.7875707452714025,12525
1,89.230095,48.906666,89.51072,5.391724,0.004498,1.6483177337042383,18774
1,90.61818,48.906666,94.00855,7.1453424,0.004493,1.7610272233089443,28079
1,91.26758,48.906666,89.562355,4.8310776,0.004617,1.8625215994615127,19632
1,92.819016,48.906666,93.70512,6.257302,0.004454,1.8137378374745754,27011
1,90.36397,48.906666,90.39939,3.5607898,0.004599,1.7363189965059707,23330
1,88.5192,48.906666,91.42408,5.171574,0.004589,1.8773170668165984,17347
1,92.95978,48.906666,94.26661,6.8453007,0.004521,1.9071885107619726,27166
1,93.52038,48.906666,88.38609,8.928872,0.004555,1.8124936720532205,32702
1,94.21299,48.906666,92.07063,5.9549623,0.004479,1.838615825842336,26131
1,90.08744,48.906666,94.20416,6.1162553,0.004617,1.8868103536050929,16627
1,93.30347,48.906666,92.910904,33.07074,0.004511,1.906433567525257,13370
1,94.169395,48.906666,92.10284,30.156847,0.004475,1.8076757647794601,31376
1,93.04542,48.906666,88.830505,7.2888994,0.004417,1.7164426018297199,11545
1,91.839005,48.906666,92.51566,0.8983104,0.004347,1.713205753911451,28418
